368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
414.84615384615387,474.6923076923077,2,3,5,2,1,3,4,8,7
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
350.5,495.3333333333333,0,0,0,0,1,1,1,5,5
358.375,475.5,0,0,0,0,1,2,2,5,5
363.1,463.6,0,0,0,0,1,2,2,5,5
366.25,455.6666666666667,0,0,0,0,1,2,2,5,5
368.5,450.0,0,0,0,0,1,2,2,5,5
370.1875,445.75,0,0,0,0,1,2,2,5,5
371.5,442.44444444444446,1,0,0,0,1,2,2,5,6
372.55,439.8,2,0,0,0,1,2,2,5,7
373.40909090909093,437.6363636363636,2,0,0,0,1,2,2,5,7
373.40909090909093,437.6363636363636,2,0,0,0,1,2,2,5,7
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,0,0,1,0,0,5,5
368.0,500,0,0,1,1,1,0,0,5,5
364.5,500,0,0,1,1,1,1,0,5,5
350.5,453.625,0,0,2,2,1,1,1,5,5
353.3,394.3,2,0,2,2,1,2,2,5,7
337.0833333333333,395.5833333333333,2,1,3,2,1,3,2,5,7
352.5,403.5,2,2,5,3,1,4,3,7,7
384.1875,380.5625,3,2,5,3,1,5,5,7,8
389.0,351.8333333333333,4,3,7,4,1,6,5,8,9
369.4,335.5,5,4,10,6,1,6,6,9,10
342.54545454545456,323.40909090909093,6,5,12,7,1,7,6,9,11
340.5833333333333,313.3333333333333,6,6,15,9,1,7,6,10,11
349.4230769230769,299.96153846153845,8,7,19,12,1,8,8,12,13
341.0,291.75,8,7,20,13,1,9,8,12,13
330.9,280.9,9,7,23,16,1,10,10,12,14
337.15625,279.71875,9,7,25,18,2,10,10,17,19
349.2647058823529,278.6764705882353,9,8,28,20,2,11,10,18,19
364.5,273.6666666666667,11,8,29,21,2,14,11,18,20
374.63157894736844,269.7368421052632,11,9,33,24,2,15,13,19,21
372.025,275.3,11,9,35,26,2,16,14,19,21
360.0,282.6666666666667,11,12,38,26,2,17,15,22,21
350.65909090909093,283.0,12,13,40,27,2,18,16,23,22
348.67391304347825,286.6521739130435,12,13,41,28,2,19,17,23,22
348.0208333333333,288.3958333333333,12,15,44,29,2,22,18,25,22
346.58,288.74,15,17,46,29,2,24,20,27,24
341.4807692307692,291.61538461538464,15,17,47,30,2,24,21,27,25
336.8888888888889,297.3888888888889,15,18,50,32,2,26,21,28,25
335.375,295.0,16,18,51,33,2,27,22,28,26
328.41379310344826,292.2931034482759,18,18,53,35,2,28,23,28,28
324.25,291.75,19,18,54,36,3,29,25,33,34
320.46774193548384,293.7258064516129,19,18,56,38,3,31,25,33,34
317.359375,297.984375,19,19,57,38,3,33,26,33,34
